"full_name","name","e","a","ma","i","w","diameter","om","per_y","neo","pha","spkid","pdes"
"       (2017 WN28)",,0.4142,1.723,75.89,10.07,11.43,,327.20,2.26,Y,Y,3790058,"2017 WN28"
"       (2017 XC)",,0.6008,2.374,327.05,33.64,318.64,,48.44,3.66,Y,Y,3790126,"2017 XC"
"       (2017 XL2)",,0.6637,1.994,175.25,16.93,82.15,,266.30,2.82,Y,Y,3791289,"2017 XL2"
"       (2017 YH1)",,0.5238,1.808,306.02,15.82,307.90,,87.05,2.43,Y,Y,3794976,"2017 YH1"
"       (2017 YR1)",,0.6224,2.47,277.77,17.89,140.61,,274.19,3.88,Y,Y,3794979,"2017 YR1"
"       (2017 YE5)",,0.7086,2.821,128.82,6.22,110.82,,103.89,4.74,Y,Y,3795078,"2017 YE5"
"       (2018 AT)",,0.3993,1.691,63.40,13.38,21.52,,355.76,2.2,Y,Y,3797404,"2018 AT"
"       (2018 AE2)",,0.5444,2.205,9.86,35.79,192.25,,338.56,3.27,Y,Y,3797448,"2018 AE2"
"       (2018 AJ12)",,0.7377,2.38,330.36,11.51,286.21,,96.31,3.67,Y,Y,3797696,"2018 AJ12"
"       (2018 BO1)",,0.4447,1.678,102.23,11.27,23.13,,350.61,2.17,Y,Y,3797749,"2018 BO1"
"       (2018 BY2)",,0.3814,1.641,47.10,9.00,330.25,,202.42,2.1,Y,Y,3797849,"2018 BY2"
"       (2018 BZ2)",,0.5990,2.172,55.83,11.82,150.64,,244.11,3.2,Y,Y,3797851,"2018 BZ2"
"       (2018 BM3)",,0.5106,1.117,334.01,19.62,250.80,,105.45,1.18,Y,Y,3797861,"2018 BM3"
"       (2018 BT6)",,0.8276,2.25,9.11,3.00,72.13,,307.03,3.38,Y,Y,3798985,"2018 BT6"
"       (2018 BA7)",,0.4923,1.477,303.00,18.37,67.84,,322.37,1.79,Y,Y,3798993,"2018 BA7"
"       (2018 CZ2)",,0.6727,2.179,7.96,5.42,117.99,,120.49,3.22,Y,Y,3799304,"2018 CZ2"
"       (2018 DA1)",,0.7273,1.207,113.73,25.49,233.94,,139.91,1.33,Y,Y,3799715,"2018 DA1"
"       (2018 DH1)",,0.6036,2.095,45.77,1.97,97.41,,146.05,3.03,Y,Y,3799720,"2018 DH1"
"       (2018 EB)",,0.0122,1.017,10.77,29.44,126.78,,194.55,1.03,Y,Y,3799787,"2018 EB"
"       (2018 EE)",,0.6519,2.815,145.23,3.89,35.09,,109.32,4.72,Y,Y,3799790,"2018 EE"
"       (2018 ED4)",,0.6266,2.656,154.29,14.75,350.15,,274.20,4.33,Y,Y,3799902,"2018 ED4"
"       (2018 FS3)",,0.4857,1.882,167.69,4.33,69.32,,188.57,2.58,Y,Y,3802062,"2018 FS3"
"       (2018 FJ4)",,0.3866,1.479,149.78,1.23,88.87,,223.89,1.8,Y,Y,3802077,"2018 FJ4"
"       (2018 FJ5)",,0.8567,2.487,258.41,18.26,287.71,,124.22,3.92,Y,Y,3802102,"2018 FJ5"
"       (2018 FO5)",,0.4349,1.66,331.93,9.13,41.29,,236.96,2.14,Y,Y,3802120,"2018 FO5"
"       (2018 GM)",,0.5523,1.669,343.64,33.06,255.77,,18.85,2.16,Y,Y,3802398,"2018 GM"
"       (2018 GJ1)",,0.5517,1.804,217.33,6.80,250.62,,38.30,2.42,Y,Y,3802421,"2018 GJ1"
"       (2018 GG2)",,0.7104,2.236,0.82,43.32,278.48,,195.08,3.34,Y,Y,3802447,"2018 GG2"
"       (2018 HQ)",,0.5786,1.81,207.23,13.75,294.96,,9.04,2.44,Y,Y,3805267,"2018 HQ"
"       (2018 HL2)",,0.4681,1.671,332.67,33.46,233.17,,45.90,2.16,Y,Y,3819665,"2018 HL2"
"       (2018 JA)",,0.2972,1.421,269.00,28.15,197.87,,63.51,1.69,Y,Y,3819679,"2018 JA"
"       (2018 JD2)",,0.8823,1.823,183.53,51.03,313.25,,54.51,2.46,Y,Y,3824084,"2018 JD2"
"       (2018 LK)",,0.3166,1.068,205.18,13.93,279.94,,85.16,1.1,Y,Y,3825086,"2018 LK"
"       (2018 LB1)",,0.6457,2.782,108.97,1.18,23.12,,313.88,4.64,Y,Y,3825097,"2018 LB1"
"       (2018 LZ13)",,0.2997,1.355,206.92,66.41,171.11,,279.68,1.58,Y,Y,3825286,"2018 LZ13"
"       (2018 LG16)",,0.3540,1.551,315.97,22.94,0.30,,77.35,1.93,Y,Y,3825520,"2018 LG16"
"       (2018 MV4)",,0.2424,1.251,19.15,26.11,344.71,,109.59,1.4,Y,Y,3825425,"2018 MV4"
"       (2018 MR5)",,0.7166,2.075,65.94,2.76,205.49,,325.99,2.99,Y,Y,3825448,"2018 MR5"
"       (2018 MW6)",,0.7740,3.389,350.75,10.26,120.95,,240.34,6.24,Y,Y,3825479,"2018 MW6"
"       (2018 NC)",,0.6011,2.057,61.24,6.70,75.50,,128.01,2.95,Y,Y,3825515,"2018 NC"
"       (2018 NY14)",,0.7719,1.261,78.02,25.19,315.60,,141.12,1.42,Y,Y,3825756,"2018 NY14"
"       (2018 NF15)",,0.5490,1.654,303.75,3.27,32.30,,13.70,2.13,Y,Y,3825814,"2018 NF15"
"       (2018 OB1)",,0.6911,3.178,21.87,4.34,225.08,,174.59,5.67,Y,Y,3825831,"2018 OB1"
"       (2018 PQ23)",,0.6124,2.166,327.39,18.57,45.29,,354.48,3.19,Y,Y,3826837,"2018 PQ23"
"       (2018 PK24)",,0.6614,1.944,70.73,6.70,119.97,,320.54,2.71,Y,Y,3826859,"2018 PK24"
"       (2018 PP29)",,0.7431,3.193,347.66,20.59,301.55,,119.40,5.7,Y,Y,3842750,"2018 PP29"
"       (2018 QT)",,0.6126,2.277,265.04,1.32,64.93,,354.56,3.43,Y,Y,3826894,"2018 QT"
"       (2018 QN1)",,0.5568,2.282,263.94,6.39,325.46,,63.66,3.45,Y,Y,3827100,"2018 QN1"
"       (2018 RB)",,0.7324,1.951,110.87,4.56,244.37,,349.14,2.72,Y,Y,3827151,"2018 RB"
"       (2018 RB7)",,0.6687,2.416,213.10,5.30,314.35,,115.50,3.75,Y,Y,3829455,"2018 RB7"
"       (2018 RJ7)",,0.6447,2.674,126.10,4.05,296.37,,135.96,4.37,Y,Y,3829463,"2018 RJ7"
"       (2018 SX2)",,0.2967,1.353,328.06,10.74,338.29,,351.09,1.57,Y,Y,3831075,"2018 SX2"
"       (2018 SK3)",,0.7010,2.602,134.38,34.03,124.83,,353.27,4.2,Y,Y,3831077,"2018 SK3"
"       (2018 TO1)",,0.3960,1.535,91.80,3.65,218.64,,91.20,1.9,Y,Y,3831203,"2018 TO1"
"       (2018 TY2)",,0.8420,2.288,229.75,4.61,249.22,,272.86,3.46,Y,Y,3831471,"2018 TY2"
"       (2018 TF3)",,0.7173,2.132,312.28,6.87,76.62,,51.55,3.11,Y,Y,3831479,"2018 TF3"
"       (2018 UY)",,0.5313,1.249,7.44,1.75,114.62,,72.44,1.4,Y,Y,3831884,"2018 UY"
"       (2018 UA1)",,0.6244,2.528,184.27,18.45,348.31,,358.94,4.02,Y,Y,3831888,"2018 UA1"
"       (2018 UQ1)",,0.4915,1.614,299.62,1.62,220.05,,254.30,2.05,Y,Y,3831916,"2018 UQ1"
"       (2018 UC2)",,0.4101,1.576,26.59,31.32,134.69,,209.66,1.98,Y,Y,3835509,"2018 UC2"
"       (2018 VG3)",,0.6502,1.509,127.98,6.00,283.58,,355.94,1.85,Y,Y,3836084,"2018 VG3"
"       (2018 WR1)",,0.6461,2.252,243.50,15.17,244.86,,274.59,3.38,Y,Y,3836308,"2018 WR1"
"       (2018 WP2)",,0.5222,1.943,78.34,7.90,309.60,,55.06,2.71,Y,Y,3836663,"2018 WP2"
"       (2018 WE3)",,0.6610,2.728,119.91,8.71,159.47,,240.66,4.51,Y,Y,3836731,"2018 WE3"
"       (2018 XR)",,0.6656,2.155,280.60,20.53,114.56,,78.22,3.16,Y,Y,3836727,"2018 XR"
"       (2018 XY3)",,0.6197,2.102,313.34,20.29,108.35,,80.69,3.05,Y,Y,3836888,"2018 XY3"
"       (2018 XG5)",,0.6234,2.433,165.80,12.92,320.63,,215.49,3.8,Y,Y,3836920,"2018 XG5"
"       (2018 XV5)",,0.6335,2.585,192.21,11.23,161.18,,154.89,4.16,Y,Y,3836936,"2018 XV5"
"       (2018 YH)",,0.2639,1.119,255.42,11.92,245.74,,320.48,1.18,Y,Y,3836942,"2018 YH"
"       (2018 YJ2)",,0.4039,1.161,281.73,6.51,293.41,,65.07,1.25,Y,Y,3837522,"2018 YJ2"
"       (2019 AV2)",,0.6467,2.459,164.52,9.01,54.41,,119.69,3.86,Y,Y,3837596,"2019 AV2"
"       (2019 AZ2)",,0.8833,2.458,12.41,7.33,255.25,,83.76,3.85,Y,Y,3837599,"2019 AZ2"
"       (2019 AW4)",,0.6183,2.25,233.04,14.37,56.84,,153.46,3.38,Y,Y,3837652,"2019 AW4"
"       (2019 AN5)",,0.4139,1.608,355.92,2.02,98.57,,276.44,2.04,Y,Y,3837682,"2019 AN5"
"       (2019 AN7)",,0.8483,1.192,325.72,23.77,325.58,,295.47,1.3,Y,Y,3837741,"2019 AN7"
"       (2019 AG13)",,0.6041,2.062,316.83,11.15,300.42,,264.99,2.96,Y,Y,3837902,"2019 AG13"
"       (2019 BK)",,0.7282,2.055,358.90,4.13,121.17,,264.46,2.95,Y,Y,3837926,"2019 BK"
"       (2019 BC1)",,0.6345,2.531,162.65,17.75,328.76,,118.16,4.03,Y,Y,3837956,"2019 BC1"
"       (2019 BP1)",,0.6302,2.55,164.07,23.73,18.05,,34.33,4.07,Y,Y,3837975,"2019 BP1"
"       (2019 BG2)",,0.2760,1.265,69.49,14.22,65.57,,328.98,1.42,Y,Y,3837989,"2019 BG2"
"       (2019 BT2)",,0.4924,1.082,103.26,19.94,65.72,,306.75,1.13,Y,Y,3838020,"2019 BT2"
"       (2019 BF5)",,0.7394,1.68,245.87,24.52,68.78,,312.21,2.18,Y,Y,3838082,"2019 BF5"
"       (2019 CH1)",,0.7140,1.335,307.33,10.87,73.57,,296.44,1.54,Y,Y,3838104,"2019 CH1"
"       (2019 CT1)",,0.3545,1.561,339.90,19.25,152.44,,325.06,1.95,Y,Y,3838130,"2019 CT1"
"       (2019 CU1)",,0.5171,1.781,160.82,1.76,100.67,,344.48,2.38,Y,Y,3838129,"2019 CU1"
"       (2019 CD2)",,0.7480,2.452,186.29,6.74,113.52,,304.81,3.84,Y,Y,3838139,"2019 CD2"
"       (2019 CE4)",,0.6604,2.85,75.46,20.69,347.11,,38.59,4.81,Y,Y,3838240,"2019 CE4"
"       (2019 CC5)",,0.6052,1.843,117.72,7.49,295.54,,131.22,2.5,Y,Y,3838259,"2019 CC5"
"       (2019 CD5)",,0.6668,2.32,197.36,2.54,212.36,,31.84,3.53,Y,Y,3838263,"2019 CD5"
"       (2019 DD2)",,0.5119,2.044,326.04,36.56,30.24,,178.95,2.92,Y,Y,3838912,"2019 DD2"
"       (2019 EN)",,0.6210,2.178,250.11,9.73,47.29,,192.45,3.21,Y,Y,3838886,"2019 EN"
"       (2019 EU2)",,0.6673,2.432,191.71,15.59,246.46,,198.93,3.79,Y,Y,3840119,"2019 EU2"
"       (2019 FH)",,0.7743,1.528,11.63,3.86,152.34,,255.15,1.89,Y,Y,3840128,"2019 FH"
"       (2019 GD1)",,0.8007,2.614,137.43,3.56,237.23,,197.57,4.23,Y,Y,3840802,"2019 GD1"
"       (2019 GT3)",,0.6205,2.37,153.44,2.34,69.81,,225.06,3.65,Y,Y,3840850,"2019 GT3"
"       (2019 HN)",,0.6356,1.864,31.79,34.75,81.70,,207.39,2.54,Y,Y,3841531,"2019 HN"
"       (2019 HH4)",,0.3872,1.532,198.97,33.86,150.69,,211.46,1.9,Y,Y,3841670,"2019 HH4"
"       (2019 JB1)",,0.7751,2.004,310.19,19.92,288.79,,54.16,2.84,Y,Y,3841701,"2019 JB1"
"       (2019 KQ5)",,0.6012,1.689,208.75,4.91,238.68,,246.43,2.2,Y,Y,3842747,"2019 KQ5"
"       (2019 LG1)",,0.3594,1.126,92.88,18.00,103.39,,248.78,1.2,Y,Y,3842757,"2019 LG1"
"       (2019 LZ1)",,0.9258,2.233,233.83,9.49,223.21,,220.77,3.34,Y,Y,3842777,"2019 LZ1"
"       (2019 LX4)",,0.3074,1.462,319.01,2.94,68.70,,269.97,1.77,Y,Y,3842870,"2019 LX4"
"       (2019 LH5)",,0.7058,1.604,202.75,3.00,269.29,,120.69,2.03,Y,Y,3842883,"2019 LH5"
"       (2019 LG6)",,0.7373,2.278,345.42,16.90,260.59,,95.85,3.44,Y,Y,3842901,"2019 LG6"
"       (2019 MS3)",,0.7202,2.63,60.88,8.61,231.55,,138.99,4.26,Y,Y,3843090,"2019 MS3"
"       (2019 NA)",,0.5686,1.98,304.36,7.77,141.30,,207.23,2.79,Y,Y,3843061,"2019 NA"
"       (2019 NA2)",,0.6364,1.821,22.91,33.87,284.91,,78.83,2.46,Y,Y,3843128,"2019 NA2"
"       (2019 NE2)",,0.7291,1.73,92.24,8.48,124.20,,267.88,2.27,Y,Y,3843131,"2019 NE2"
"       (2019 NY2)",,0.4413,1.749,69.99,11.35,199.67,,139.78,2.31,Y,Y,3843155,"2019 NY2"
"       (2019 NO4)",,0.6560,1.517,327.23,12.81,269.20,,127.98,1.87,Y,Y,3843182,"2019 NO4"
"       (2019 ND7)",,0.5751,1.148,54.02,34.48,114.75,,297.37,1.23,Y,Y,3843319,"2019 ND7"
"       (2019 OO)",,0.5024,1.635,143.64,32.67,253.02,,132.08,2.09,Y,Y,3843341,"2019 OO"
"       (2019 OT)",,0.5488,1.712,144.41,47.23,285.40,,302.13,2.24,Y,Y,3843348,"2019 OT"
"       (2019 OM1)",,0.5983,1.897,334.05,6.17,52.70,,346.66,2.61,Y,Y,3843363,"2019 OM1"
"       (2019 OQ2)",,0.6032,1.448,283.39,4.11,256.85,,200.39,1.74,Y,Y,3843394,"2019 OQ2"
"       (2019 OY3)",,0.4728,1.858,26.32,48.65,350.86,,297.42,2.53,Y,Y,3843430,"2019 OY3"
"       (2019 PG1)",,0.5940,2.457,128.59,20.38,13.62,,281.56,3.85,Y,Y,3843508,"2019 PG1"
"       (2019 QT)",,0.8286,2.218,180.52,4.43,215.01,,236.48,3.3,Y,Y,3843577,"2019 QT"
"       (2019 QX)",,0.6291,2.156,200.50,27.15,119.08,,316.60,3.17,Y,Y,3843589,"2019 QX"
"       (2019 QY1)",,0.4702,1.746,55.14,27.42,156.84,,236.05,2.31,Y,Y,3843612,"2019 QY1"
"       (2019 QD2)",,0.4600,1.804,57.36,11.96,18.31,,271.68,2.42,Y,Y,3843615,"2019 QD2"
"       (2019 QD6)",,0.6566,2.815,17.79,14.57,10.88,,35.81,4.72,Y,Y,3843701,"2019 QD6"
"       (2019 RC)",,0.5082,2.048,258.30,22.89,202.28,,175.05,2.93,Y,Y,3843758,"2019 RC"
"       (2019 RW)",,0.5835,2.286,191.58,4.86,312.17,,309.46,3.46,Y,Y,3843775,"2019 RW"
"       (2019 RU3)",,0.7760,1.628,133.73,34.25,110.82,,40.09,2.08,Y,Y,3843858,"2019 RU3"
"       (2019 RV3)",,0.6105,2.243,162.19,6.97,126.06,,352.20,3.36,Y,Y,3843857,"2019 RV3"
"       (2019 SH)",,0.4748,1.217,314.50,45.13,273.02,,179.15,1.34,Y,Y,3843879,"2019 SH"
"       (2019 TP1)",,0.2693,1.296,41.74,25.22,126.30,,12.04,1.48,Y,Y,3878564,"2019 TP1"
"       (2019 UO)",,0.6380,2.652,39.01,5.70,184.96,,277.60,4.32,Y,Y,3879231,"2019 UO"
"       (2019 UC4)",,0.6451,2.485,80.92,8.60,203.69,,249.61,3.92,Y,Y,3879384,"2019 UC4"
"       (2019 UT6)",,0.5045,1.589,138.85,2.40,44.41,,84.86,2,Y,Y,3879725,"2019 UT6"
"       (2019 UO9)",,0.5805,1.912,261.96,5.49,148.46,,7.55,2.64,Y,Y,3884025,"2019 UO9"
"       (2019 US10)",,0.3854,1.453,331.75,26.94,304.15,,43.25,1.75,Y,Y,3884238,"2019 US10"
"       (2019 UN12)",,0.8460,2.257,148.27,5.19,301.75,,222.59,3.39,Y,Y,3888754,"2019 UN12"
"       (2019 VD2)",,0.7355,1.972,301.65,33.50,257.10,,38.77,2.77,Y,Y,3892653,"2019 VD2"
"       (2019 VL4)",,0.8401,2.038,223.59,10.30,288.01,,260.16,2.91,Y,Y,3892745,"2019 VL4"
"       (2019 VF6)",,0.4392,1.23,137.01,14.91,89.18,,102.17,1.36,Y,Y,3893637,"2019 VF6"
"       (2019 VG6)",,0.4137,1.513,154.55,8.60,219.19,,304.32,1.86,Y,Y,3893738,"2019 VG6"
"       (2019 WF3)",,0.5727,2.335,109.82,12.86,204.19,,296.44,3.57,Y,Y,3893551,"2019 WF3"
"       (2019 WL4)",,0.5580,1.193,348.49,4.87,99.92,,186.24,1.3,Y,Y,3893643,"2019 WL4"
"       (2019 WW4)",,0.5530,2.231,178.40,9.43,22.73,,330.69,3.33,Y,Y,3893727,"2019 WW4"
"       (2019 WX4)",,0.6272,1.952,257.54,29.46,74.52,,78.33,2.73,Y,Y,3893728,"2019 WX4"
"       (2019 WD5)",,0.5427,1.63,85.05,4.75,228.37,,311.98,2.08,Y,Y,3893736,"2019 WD5"
"       (2019 WJ5)",,0.7440,2.311,167.11,5.38,104.52,,207.66,3.51,Y,Y,3893739,"2019 WJ5"
"       (2019 WQ19)",,0.5814,1.387,321.53,29.99,272.80,,240.24,1.63,Y,Y,54162241,"2019 WQ19"
"       (2019 XE1)",,0.6133,1.936,269.80,30.30,244.93,,291.95,2.69,Y,Y,3905989,"2019 XE1"
"       (2019 XO2)",,0.3554,1.486,255.87,28.54,342.60,,68.18,1.81,Y,Y,3909261,"2019 XO2"
"       (2019 XK3)",,0.7156,2.378,144.26,5.59,232.41,,88.09,3.67,Y,Y,3928734,"2019 XK3"
"       (2019 XQ3)",,0.2601,1.237,153.49,50.96,52.18,,88.48,1.38,Y,Y,3933022,"2019 XQ3"
"       (2019 YZ3)",,0.5958,1.754,0.92,23.38,257.65,,275.41,2.32,Y,Y,3959221,"2019 YZ3"
"       (2019 YX6)",,0.8916,3.514,7.35,1.85,18.22,,317.96,6.59,Y,Y,3986635,"2019 YX6"
"       (2020 AN3)",,0.5508,2.165,180.30,26.26,167.73,,294.39,3.18,Y,Y,3986682,"2020 AN3"
"       (2020 BX)",,0.4088,1.466,308.32,20.95,130.76,,92.59,1.77,Y,Y,3986740,"2020 BX"
"       (2020 BE1)",,0.5035,1.715,2.51,30.11,111.72,,103.44,2.25,Y,Y,3986743,"2020 BE1"
"       (2020 BJ4)",,0.6707,2.819,337.95,5.62,199.17,,10.53,4.73,Y,Y,3989074,"2020 BJ4"
"       (2020 BC6)",,0.7096,1.86,346.44,6.30,98.46,,272.45,2.54,Y,Y,3989144,"2020 BC6"
"       (2020 BC8)",,0.7488,2.313,102.52,7.37,252.85,,318.38,3.52,Y,Y,3989182,"2020 BC8"
"       (2020 BX12)",,0.5273,1.6,93.41,40.06,70.51,,132.85,2.02,Y,Y,3989285,"2020 BX12"
"       (2020 BF14)",,0.4752,1.284,141.18,36.14,83.41,,349.26,1.45,Y,Y,3989317,"2020 BF14"
"       (2020 BW14)",,0.6528,2.692,32.94,15.99,28.02,,21.46,4.42,Y,Y,3989341,"2020 BW14"
"       (2020 BB15)",,0.4141,1.718,12.90,5.31,177.77,,16.18,2.25,Y,Y,3989346,"2020 BB15"
"       (2020 DY1)",,0.6311,2.539,43.11,1.32,291.23,,279.24,4.05,Y,Y,3991701,"2020 DY1"
"       (2020 DP2)",,0.7913,2.632,43.61,14.07,270.95,,150.15,4.27,Y,Y,3994618,"2020 DP2"
"       (2020 DR2)",,0.6910,2.283,140.80,19.73,252.56,,168.95,3.45,Y,Y,3994619,"2020 DR2"
"       (2020 DC3)",,0.8353,2.01,242.97,3.62,20.06,,16.82,2.85,Y,Y,54000956,"2020 DC3"
"       (2020 DT3)",,0.6078,2.25,115.35,3.27,27.94,,207.47,3.37,Y,Y,54005664,"2020 DT3"
"       (2020 EN)",,0.5538,2.059,214.33,7.75,300.30,,113.05,2.96,Y,Y,54013566,"2020 EN"
"       (2020 FO1)",,0.8184,2.304,91.98,2.87,262.45,,35.67,3.5,Y,Y,54016232,"2020 FO1"
"       (2020 FR1)",,0.6150,1.406,228.15,13.12,255.82,,26.43,1.67,Y,Y,54016235,"2020 FR1"
"       (2020 FH2)",,0.4935,1.816,337.16,7.99,51.89,,55.66,2.45,Y,Y,54016280,"2020 FH2"
"       (2020 FR3)",,0.6475,1.973,24.72,8.87,261.66,,174.62,2.77,Y,Y,54016330,"2020 FR3"
"       (2020 FW4)",,0.6947,2.298,95.73,5.13,222.67,,50.19,3.48,Y,Y,54016360,"2020 FW4"
"       (2020 FX4)",,0.5933,2.448,73.77,9.87,357.23,,155.18,3.83,Y,Y,54016362,"2020 FX4"
"       (2020 FA5)",,0.8009,1.915,237.49,6.56,242.15,,39.36,2.65,Y,Y,54016365,"2020 FA5"
"       (2020 FO5)",,0.8899,3.275,267.57,7.41,79.50,,227.20,5.93,Y,Y,54016377,"2020 FO5"
"       (2020 FM6)",,0.4938,1.364,255.46,14.99,276.08,,30.46,1.59,Y,Y,54016410,"2020 FM6"
"       (2020 FZ6)",,0.7446,2.315,88.19,3.25,32.82,,258.99,3.52,Y,Y,54016429,"2020 FZ6"
"       (2020 GA2)",,0.4268,1.282,80.56,42.98,93.00,,22.90,1.45,Y,Y,54016489,"2020 GA2"
"       (2020 HJ4)",,0.5766,2.069,122.92,1.22,233.29,,105.20,2.98,Y,Y,54016684,"2020 HJ4"
"       (2020 HD6)",,0.6369,2.423,24.65,8.13,335.27,,351.40,3.77,Y,Y,54016748,"2020 HD6"
"       (2020 JV)",,0.6378,2.253,125.22,3.24,238.66,,280.09,3.38,Y,Y,54016979,"2020 JV"
"       (2020 JC3)",,0.6720,2.464,71.10,5.19,241.84,,259.92,3.87,Y,Y,54017111,"2020 JC3"
"       (2020 KT2)",,0.6389,2.453,33.35,8.55,211.44,,106.22,3.84,Y,Y,54017164,"2020 KT2"
"       (2020 KN3)",,0.7169,3.052,284.57,9.33,152.02,,199.06,5.33,Y,Y,54017195,"2020 KN3"
"       (2020 KO3)",,0.5042,1.866,235.99,11.79,213.43,,122.39,2.55,Y,Y,54017196,"2020 KO3"
"       (2020 KR4)",,0.9047,1.833,249.59,14.95,314.76,,80.15,2.48,Y,Y,54017234,"2020 KR4"
"       (2020 KG6)",,0.8310,1.13,143.56,22.45,134.98,,264.06,1.2,Y,Y,54017288,"2020 KG6"
"       (2020 LG1)",,0.6532,2.785,324.85,21.05,208.34,,137.28,4.65,Y,Y,54017438,"2020 LG1"
"       (2020 LM1)",,0.6077,2.39,10.45,17.35,135.10,,75.34,3.69,Y,Y,54017454,"2020 LM1"
"       (2020 MA3)",,0.7019,2.51,345.83,16.55,302.74,,69.33,3.98,Y,Y,54017644,"2020 MA3"
"       (2020 MZ3)",,0.6566,2.631,343.15,5.25,250.73,,132.99,4.27,Y,Y,54017686,"2020 MZ3"
"       (2020 ND)",,0.5883,2.413,39.71,17.42,214.74,,117.97,3.75,Y,Y,54017784,"2020 ND"
"       (2020 NK1)",,0.6472,1.393,171.38,45.44,107.90,,311.08,1.64,Y,Y,54048828,"2020 NK1"
"       (2020 OM1)",,0.2129,1.19,202.28,18.58,18.49,,158.13,1.3,Y,Y,54048892,"2020 OM1"
"       (2020 ON3)",,0.5768,1.713,286.66,27.09,258.09,,127.57,2.24,Y,Y,54049354,"2020 ON3"
"       (2020 OP3)",,0.2703,1.29,177.14,29.53,147.75,,309.02,1.46,Y,Y,54049356,"2020 OP3"
"       (2020 PP)",,0.0882,1.027,176.57,14.46,216.84,,308.01,1.04,Y,Y,54049906,"2020 PP"
"       (2020 PB1)",,0.5436,2.182,85.62,9.29,177.44,,231.25,3.22,Y,Y,54050980,"2020 PB1"
"       (2020 PN3)",,0.7908,2.128,98.85,7.25,233.30,,211.45,3.11,Y,Y,54051070,"2020 PN3"
"       (2020 PS3)",,0.7158,2.324,80.42,18.80,93.10,,144.03,3.54,Y,Y,54051075,"2020 PS3"
"       (2020 PM4)",,0.4786,1.782,286.43,5.50,311.28,,329.39,2.38,Y,Y,54051089,"2020 PM4"
"       (2020 PS4)",,0.7848,2.147,91.15,6.50,76.83,,10.24,3.15,Y,Y,54051093,"2020 PS4"
"       (2020 PY4)",,0.8067,2.531,32.79,8.61,65.70,,142.24,4.03,Y,Y,54051100,"2020 PY4"
"       (2020 QD)",,0.7311,2.399,23.42,4.00,40.82,,38.10,3.71,Y,Y,54051125,"2020 QD"
"       (2020 QZ3)",,0.5384,1.923,150.46,8.51,246.74,,192.74,2.67,Y,Y,54051321,"2020 QZ3"
"       (2020 QH4)",,0.8602,3.49,7.09,55.67,266.31,,329.96,6.52,Y,Y,54051328,"2020 QH4"
"       (2020 QQ5)",,0.6497,2.157,129.86,8.10,86.48,,172.78,3.17,Y,Y,54051396,"2020 QQ5"
"       (2020 QC6)",,0.5989,2.169,91.57,5.97,249.51,,169.98,3.19,Y,Y,54051414,"2020 QC6"
"       (2020 QF6)",,0.6519,2.724,332.87,73.64,145.39,,249.00,4.5,Y,Y,54051415,"2020 QF6"
"       (2020 QR7)",,0.5945,2.494,329.74,11.78,339.91,,114.93,3.94,Y,Y,54054359,"2020 QR7"
"       (2020 RB)",,0.6948,3.263,253.75,59.14,346.90,,330.11,5.89,Y,Y,54053719,"2020 RB"
"       (2020 RC)",,0.3532,1.553,31.43,29.03,28.90,,342.54,1.94,Y,Y,54053722,"2020 RC"
"       (2020 RH7)",,0.4398,1.518,337.71,43.85,128.55,,3.83,1.87,Y,Y,54054354,"2020 RH7"
"       (2020 SL1)",,0.6378,2.517,69.78,13.75,331.88,,275.19,3.99,Y,Y,54054501,"2020 SL1"
"       (2020 SH2)",,0.3911,1.305,314.97,44.21,262.08,,359.40,1.49,Y,Y,54054526,"2020 SH2"
"       (2020 SE3)",,0.8500,2.539,16.69,11.86,263.04,,326.13,4.05,Y,Y,54054565,"2020 SE3"
"       (2020 SP4)",,0.6575,2.83,315.95,12.84,19.30,,314.03,4.76,Y,Y,54054627,"2020 SP4"
"       (2020 TF)",,0.3028,1.089,107.17,19.22,271.36,,221.22,1.14,Y,Y,54054747,"2020 TF"
"       (2020 TT)",,0.6983,1.788,27.54,5.89,297.11,,311.01,2.39,Y,Y,54055026,"2020 TT"
"       (2020 TX2)",,0.7328,2.407,5.20,26.60,101.41,,12.33,3.74,Y,Y,54055104,"2020 TX2"
"       (2020 TU5)",,0.3629,1.59,7.99,56.84,345.12,,42.48,2,Y,Y,54065904,"2020 TU5"
"       (2020 UF2)",,0.3057,1.13,186.21,3.07,34.39,,235.60,1.2,Y,Y,54075550,"2020 UF2"
"       (2020 UR6)",,0.4907,1.779,216.46,8.10,161.62,,311.48,2.37,Y,Y,54081200,"2020 UR6"
"       (2020 UW6)",,0.7975,1.707,301.40,5.76,79.28,,204.44,2.23,Y,Y,54084708,"2020 UW6"
"       (2020 VM1)",,0.6111,2.488,7.51,45.43,330.20,,31.37,3.93,Y,Y,54087574,"2020 VM1"
"       (2020 WG)",,0.6007,2.51,359.74,7.62,348.85,,32.77,3.98,Y,Y,54088805,"2020 WG"
"       (2020 WP1)",,0.4766,1.768,224.74,38.67,213.16,,247.45,2.35,Y,Y,54091633,"2020 WP1"
"       (2020 WT2)",,0.3060,1.343,149.49,23.02,224.29,,263.21,1.56,Y,Y,54092904,"2020 WT2"
"       (2020 WB3)",,0.6146,2.473,5.02,20.51,29.13,,5.89,3.89,Y,Y,54092911,"2020 WB3"
