"full_name","name","e","a","ma","i","w","diameter","om","per_y","neo","pha","spkid","pdes"
"       (1998 HH49)",,0.5037,1.558,209.79,8.43,288.25,,23.45,1.94,Y,Y,3013045,"1998 HH49"
"       (1998 QK28)",,0.5785,2.335,105.15,7.87,204.82,,174.51,3.57,Y,Y,3013662,"1998 QK28"
"       (1998 QA62)",,0.7415,2.042,327.30,24.84,273.95,,180.79,2.92,Y,Y,3013664,"1998 QA62"
"       (1998 SH2)",,0.7138,2.743,299.81,2.40,268.43,0.383,6.37,4.54,Y,Y,3014109,"1998 SH2"
"       (1998 SU4)",,0.5806,1.148,125.22,23.15,241.85,,350.58,1.23,Y,Y,3014110,"1998 SU4"
"       (1998 SY14)",,0.6697,2.837,151.06,3.47,22.51,,39.66,4.78,Y,Y,3014112,"1998 SY14"
"       (1998 US18)",,0.6766,2.606,74.48,9.66,115.47,,207.23,4.21,Y,Y,3014683,"1998 US18"
"       (1998 WB2)",,0.5864,1.973,99.01,2.37,78.82,0.150,52.14,2.77,Y,Y,3015695,"1998 WB2"
"       (1998 XD12)",,0.6239,1.399,38.75,13.53,69.28,,259.98,1.65,Y,Y,3016524,"1998 XD12"
"       (1999 FR19)",,0.4766,1.544,28.35,20.81,106.73,,0.75,1.92,Y,Y,3092217,"1999 FR19"
"       (1999 GL4)",,0.6025,2.12,124.00,7.26,293.88,,178.39,3.09,Y,Y,3019083,"1999 GL4"
"       (1999 JZ10)",,0.4731,1.306,53.13,25.92,80.02,,54.49,1.49,Y,Y,3020976,"1999 JZ10"
"       (1999 LX1)",,0.7268,1.165,321.11,19.81,133.36,,251.99,1.26,Y,Y,3019647,"1999 LX1"
"       (1999 SG10)",,0.6133,1.454,67.68,23.56,103.41,,13.39,1.75,Y,Y,3022970,"1999 SG10"
"       (1999 TO13)",,0.4359,1.583,25.96,20.25,302.23,,15.14,1.99,Y,Y,3022972,"1999 TO13"
"       (1999 TT16)",,0.6631,2.157,283.62,1.99,149.64,,327.12,3.17,Y,Y,3022974,"1999 TT16"
"       (1999 UR)",,0.5040,1.899,187.49,3.59,18.23,,50.65,2.62,Y,Y,3022975,"1999 UR"
"       (1999 XS35)",,0.9478,17.8,119.57,19.67,333.33,,48.71,75.1,Y,Y,3024715,"1999 XS35"
"       (1999 XK136)",,0.7029,2.384,286.92,2.67,303.18,0.811,63.10,3.68,Y,Y,3024714,"1999 XK136"
"       (1999 YD)",,0.5934,2.464,156.09,1.38,61.82,,9.38,3.87,Y,Y,3025760,"1999 YD"
"       (2000 AA6)",,0.5193,1.286,308.55,2.03,287.78,0.316,279.69,1.46,Y,Y,3025766,"2000 AA6"
"       (2000 CM33)",,0.2721,1.323,58.94,11.55,50.29,,132.82,1.52,Y,Y,3028805,"2000 CM33"
"       (2000 CO33)",,0.5647,2.334,0.68,18.21,178.83,,319.73,3.57,Y,Y,3028806,"2000 CO33"
"       (2000 CP101)",,0.6196,1.775,182.57,10.44,247.94,,160.21,2.36,Y,Y,3028810,"2000 CP101"
"       (2000 DN1)",,0.6807,2.843,3.66,8.04,148.11,,41.17,4.79,Y,Y,3031172,"2000 DN1"
"       (2000 EU70)",,0.7674,2.216,183.40,13.02,254.14,,165.29,3.3,Y,Y,3031184,"2000 EU70"
"       (2000 JF5)",,0.5551,2.048,347.01,13.71,216.90,,58.12,2.93,Y,Y,3035245,"2000 JF5"
"       (2000 KA)",,0.4618,1.332,353.86,6.73,83.30,,62.44,1.54,Y,Y,3035252,"2000 KA"
"       (2000 LF3)",,0.6543,2.594,295.28,14.60,224.27,,81.89,4.18,Y,Y,3038472,"2000 LF3"
"       (2000 PY5)",,0.6029,2.313,329.82,3.79,94.83,,147.26,3.52,Y,Y,3046120,"2000 PY5"
"       (2000 QS7)",,0.6670,2.672,174.24,3.20,218.92,,153.42,4.37,Y,Y,3046124,"2000 QS7"
"       (2000 QV7)",,0.5230,1.409,197.43,9.12,79.61,,154.73,1.67,Y,Y,3046125,"2000 QV7"
"       (2000 SL10)",,0.3386,1.372,28.59,1.46,78.60,,208.70,1.61,Y,Y,3066079,"2000 SL10"
"       (2000 TU28)",,0.1828,1.073,138.77,15.60,280.95,,202.98,1.11,Y,Y,3050517,"2000 TU28"
"       (2000 UQ30)",,0.4550,1.747,116.93,4.26,37.89,,60.17,2.31,Y,Y,3054375,"2000 UQ30"
"       (2000 WH10)",,0.6616,2.523,350.12,13.27,63.26,,50.35,4.01,Y,Y,3092276,"2000 WH10"
"       (2001 CA21)",,0.7752,1.663,336.27,4.96,218.63,,46.65,2.15,Y,Y,3092289,"2001 CA21"
"       (2001 EC)",,0.7656,2.598,254.81,0.61,116.01,,315.79,4.19,Y,Y,3070541,"2001 EC"
"       (2001 FA58)",,0.7197,2.256,322.34,8.22,114.53,,155.82,3.39,Y,Y,3071766,"2001 FA58"
"       (2001 FC58)",,0.3434,1.021,26.81,6.77,261.24,,174.60,1.03,Y,Y,3071767,"2001 FC58"
"       (2001 FB90)",,0.7665,2.408,104.65,1.84,16.28,,264.36,3.74,Y,Y,3071769,"2001 FB90"
"       (2001 GR2)",,0.6215,1.863,67.27,11.83,99.36,,190.21,2.54,Y,Y,3074752,"2001 GR2"
